city,MEDIAN of menus.amountMax
Seal Beach,2.75
Westminster,4
Granada Hills,5
San Bruno,5.09
Carlsbad,5.95
San Marcos,6.5
Huntington Beach,7.495
Northridge,7.5
Placentia,7.95
San Diego,8.99
Milpitas,9.2
El Segundo,9.49
Anaheim,9.99
Murrieta,10.99
Pacifica,11
Torrance,11.3
Danville,11.5
Petaluma,11.9
Artesia,12
Hemet,12
Lakewood,12.49
Woodland Hills,12.55
Los Angeles,12.69
Santa Clarita,13.95
San Francisco,13.99
El Cajon,14
Rocklin,14
Poway,15
Pleasanton,15.5
Solana Beach,16
Santa Monica,16.45
Upland,17.5
Sunnyvale,19.5
