id,dateAdded,dateUpdated,address,categories,primaryCategories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,State
AVz3Y-7h3D1zeR_xDAqm,2017-06-30T05:05:40Z,2019-05-01T15:43:09Z,4203 E Kiehl Ave,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Sherwood,US,us/ar/sherwood/4203ekiehlave/-1051391616,34.8323,-92.1838,http://www.citysearch.com/profile/menu/1550074?singlePlatformId=shotgun-dans-pizza,7.98,7.98,USD,"2018-05-01T04:25:37.197Z,2018-04-16T04:36:02.356Z,2018-02-15T19:58:01.612Z,2018-04-02T23:29:46.353Z,2018-06-28T11:37:25.942Z",,Cheese Pizza,Shotgun Dans Pizza,72120,USD,0,25,AR
AVwcsjkFIN2L1WUfn4dB,2015-10-20T03:10:24Z,2019-04-30T18:38:15Z,1253 Jacklin Rd,"Pizza,Restaurant,Karaoke,Pizza Place,Restaurants",Accommodation & Food Services,Milpitas,US,us/ca/milpitas/1253jacklinrd/-66718653,37.4478,-121.8878,,9.2,9.2,USD,2018-01-19T05:14:47.623Z,,Cheese Pizza,Pizza Box,95035,USD,0,25,CA
AVwcoEiNIN2L1WUfnF36,2016-03-28T05:33:02Z,2019-04-30T15:36:38Z,2221 Browning Dr,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Arlington,US,us/tx/arlington/2221browningdr/1023837469,32.707464,-97.085036,,6.95,6.95,USD,"2018-01-23T08:55:19.422Z,2018-01-26T18:16:36.204Z,2018-01-26T11:14:25.226Z,2018-01-25T10:08:29.860Z,2018-01-15T14:43:38.956Z,2017-10-28T23:15:00.000Z,2016-03-28T05:33:00.000Z,2016-06-08T16:18:00.000Z",,Cheese Pizza,Italy Pizza Pasta Subs,76010,USD,25,40,TX
AVweM6RuIN2L1WUf24PG,2015-10-23T01:27:28Z,2019-04-30T15:35:03Z,150 N Pantano Rd,Pizza Place,Accommodation & Food Services,Tucson,US,us/az/tucson/150npantanord/-874863116,32.223015,-110.822913,,5.99,5.99,USD,2015-10-23T01:27:00.000Z,,Cheese Pizza,Hungry Howies Pizza,85710,USD,25,40,AZ
AVwd95bD_7pvs4fz-2aw,2016-03-23T04:04:45Z,2019-04-30T09:33:08Z,3348 Genesee St,Pizza Place,Accommodation & Food Services,Buffalo,US,us/ny/buffalo/3348geneseest/1670701308,42.925755,-78.761238,,22.49,22.49,USD,"2016-03-23T04:05:00.000Z,2016-04-03T00:32:00.000Z",Sheet,Cheese Pizza,Macys Place Pizzeria,14225,USD,0,25,NY
AVwd95bD_7pvs4fz-2aw,2016-03-23T04:04:45Z,2019-04-30T09:33:08Z,3348 Genesee St,Pizza Place,Accommodation & Food Services,Buffalo,US,us/ny/buffalo/3348geneseest/1670701308,42.925755,-78.761238,,22.49,22.49,USD,2017-10-28T06:19:00.000Z,,Cheese Pizza,Macys Place Pizzeria,14225,USD,0,25,NY
AVwd95bD_7pvs4fz-2aw,2016-03-23T04:04:45Z,2019-04-30T09:33:08Z,3348 Genesee St,Pizza Place,Accommodation & Food Services,Buffalo,US,us/ny/buffalo/3348geneseest/1670701308,42.925755,-78.761238,,4.99,4.99,USD,2017-10-28T06:19:00.000Z,,Cheese Pizza,Macys Place Pizzeria,14225,USD,0,25,NY
AVwdCZyb_7pvs4fz1mSG,2015-10-23T03:24:54Z,2019-04-28T16:45:28Z,2345 E Centennial Pkwy,"Restaurant,Pizza Place",Accommodation & Food Services,North Las Vegas,US,us/nv/northlasvegas/2345ecentennialpkwy/236494560,36.274975,-115.11845,,11.99,11.99,USD,"2018-01-19T10:35:16.545Z,2018-01-21T20:21:25.404Z,2018-01-20T02:59:30.410Z,2018-01-16T22:12:40.923Z,2017-12-19T15:32:27.869Z,2017-12-10T12:43:50.685Z,2017-10-29T00:47:04.526Z,2017-10-07T16:17:51.376Z",,Cheese Pizza,DeLucias Pizzeria,89081,USD,0,25,NV
AVwdCZyb_7pvs4fz1mSG,2015-10-23T03:24:54Z,2019-04-28T16:45:28Z,2345 E Centennial Pkwy,"Restaurant,Pizza Place",Accommodation & Food Services,North Las Vegas,US,us/nv/northlasvegas/2345ecentennialpkwy/236494560,36.274975,-115.11845,,9.99,9.99,USD,"2018-01-19T10:35:16.543Z,2018-01-21T20:21:25.403Z,2018-01-20T02:59:30.408Z,2018-01-16T22:12:40.919Z,2017-12-19T15:32:27.868Z,2017-12-10T12:43:50.684Z,2017-10-29T00:47:04.524Z,2017-10-07T16:17:51.373Z",,Cheese Pizza,DeLucias Pizzeria,89081,USD,0,25,NV
AVzA1Vq_LD2H7whiWFMp,2017-06-19T14:50:26Z,2019-04-26T12:28:42Z,154 Church Steet,Pizza Place,Accommodation & Food Services,New York,US,us/ny/newyork/154churchsteet/831411592,40.71499,-74.00785,,16,16,USD,"2018-02-11T07:26:42.674Z,2018-01-18T15:40:23.887Z,2018-01-26T09:54:06.344Z,2018-01-26T07:17:06.507Z,2018-01-27T01:46:37.417Z,2018-01-12T07:30:15.220Z,2017-12-17T04:36:05.033Z,2017-12-08T23:12:04.423Z,2017-10-27T13:37:50.386Z",,Cheese Pizza,Dona Bella Pizza,10007,USD,0,25,NY
